,x,y,cluster,r,g,b
84155,24.176043,68.658966,23,0,166,0
17983,-48.074703,76.79772,2,93,0,106
76052,70.32125,-15.973017,15,0,155,215
37619,6.441232,40.23897,17,0,168,175
47750,-67.50928,32.884464,28,0,236,0
75668,-84.36174,-15.697267000000002,8,0,0,181
75936,1.0882216999999998,-15.311511,33,211,246,0
57281,9.991352000000001,39.706944,17,0,168,175
47586,-39.628372,-38.969784000000004,4,128,0,145
85538,32.073135,-5.297287,48,204,124,124
28144,-53.01545,-11.101763,27,0,223,0
25652,81.76429,7.061148599999999,37,255,197,0
5395,-31.961561,1.6690669999999999,5,130,0,153
64596,1.5136129999999999,63.76586999999999,1,46,0,53
64593,-46.25473,-41.30823,4,128,0,145
64981,22.557257,-29.792890000000003,32,191,253,0
57332,30.50313,1.1988573,48,204,124,124
33408,-70.77688,73.38311999999999,13,0,127,221
55463,-69.74548,-12.321676,35,242,228,0
10238,63.7858,-26.736985999999998,42,249,0,0
32373,58.896347,-69.30138000000001,49,204,204,204
61859,0.8426855,-28.267167999999998,19,0,170,143
86874,-36.312614,-50.087044,4,128,0,145
69412,-33.92263,-12.584021,5,130,0,153
77846,-63.83091999999999,18.621004,28,0,236,0
